Job titel,Company name,Address,Job type,Workplace,Job skills,Links
Brand Manager,Investment Company For Dairy Products  -,"Cairo, Egypt",Full Time,On-site,Manager · 4 - 7 Yrs of Exp · Marketing/PR/Advertising · Brand Marketing · Brand Management · Brand Strategy · Brand Design · Brand Development · Branding · Market Analysis · Digital Marketing · Marketing Campaign Management,https://wuzzuf.net/jobs/p/wd22l5eze0sc-brand-manager-investment-company-for-dairy-products-cairo-egypt
Researcher - English Speaker,Confidential -,"Nasr City, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · Analyst/Research · Research · English · Computer Skills · Customer Service · Customer Care · Customer Support · Online Research · Market Research · Research Analysis,https://wuzzuf.net/jobs/p/o0wpamdmt7tl-researcher-english-speaker-cairo-egypt
Cost Accountant,Confidential -,"6th of October, Giza, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Cost Accounting · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/s8xviz9klcrd-cost-accountant-giza-egypt
General Accountant,Agri venture -,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Financial Management · Finance · ERP System · IFRS · ERP · Communication · Odoo,https://wuzzuf.net/jobs/p/1xfjpfzgk43r-general-accountant-agri-venture-cairo-egypt
ERP Accountant (Oracle) – Reporting,Abou Seif Group  -,"Obour City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · IT/Software Development · ERP · Accounting · Financial Analysis · Oracle · Reporting · Report Building · Alfa ERP · ERP System,https://wuzzuf.net/jobs/p/qbucycqphpxu-erp-accountant-oracle-reporting-abou-seif-group-cairo-egypt
Finance Director,Gahez Digital Marketing -,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Senior Management · 8 - 20 Yrs of Exp · Accounting/Finance · ERP · Finance · Financial Analysis · Financial Planning · Accounting · Budgeting · Business Planning · Tax · Cash Flow Management,https://wuzzuf.net/jobs/p/ntbqgqfvsrl5-finance-director-gahez-digital-marketing-giza-egypt
Quality Control & Quality Assurance Manager,Confidential -,"khanka, Qalubia, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · Quality · Quality Assurance · Quality Control · Management · Analysis · Auditing · Engineering · ISO 9001 · Manufacturing · Production,https://wuzzuf.net/jobs/p/ltqs0uikda3m-quality-control-quality-assurance-manager-qalubia-egypt
Internship Social Media Specialist,TA telecom -,"Maadi, Cairo, Egypt",Internship,Hybrid,Entry Level · 0 - 1 Yrs of Exp · Creative/Design/Art · Writing/Editorial · Marketing/PR/Advertising · Social Media Management · Digital Marketing · Content Creation · Brand Awareness · Paid Advertising · Trend Analysis · Community Engagement,https://wuzzuf.net/internship/uhes4q1ednby-internship-social-media-specialist-ta-telecom-cairo-egypt
Senior Accountant,Egyptian British International School -,"6th of October, Giza, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Management,https://wuzzuf.net/jobs/p/6q3i9z6cbpxb-senior-accountant-egyptian-british-international-school-giza-egypt
Software Engineer,Confidential -,"Mohandessin, Giza, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Agile · Computer Science · Information Technology (IT) · Software Development Life Cycle (SDLC) · Problem-solving · Object-Oriented Programming (OOP) · Data Structures · Algorithms · Version Control (Git),https://wuzzuf.net/jobs/p/5m1tjs1jg0i1-software-engineer-giza-egypt
Junior Accountant,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Administration · Banking · Accounting · Finance · Financial Analysis · Microsoft Office · Odoo · ERP,https://wuzzuf.net/jobs/p/klp2ikgxkogk-junior-accountant-cairo-egypt
Cost Accountant (Industrial Background),Activa International -,"6th of October, Giza, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Cost Accounting · Finance · Financial Analysis · Manufacturing · ERP · Commerce · CMA,https://wuzzuf.net/jobs/p/7o9ysuyj3s6j-cost-accountant-industrial-background-activa-international-giza-egypt
Senior Marketing Specialist,Adowa Alshamel Computer Limited Company -,"Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Marketing · Social Media · E-Marketing · CRM · CSS · B2B · HTML · ROI · Analysis,https://wuzzuf.net/jobs/p/nzolzsj4d2nf-senior-marketing-specialist-adowa-alshamel-computer-limited-company-cairo-egypt
Accounting Supervisor,EUREKA Solar Energy -,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · males_preferred · Accounting/Finance · Banking · Analyst/Research · Accounting · Finance · Financial Analysis · Cash Flow Management · Finance Analysis · Financial Reporting · Commerce,https://wuzzuf.net/jobs/p/dkfswhlfalyl-accounting-supervisor-eureka-solar-energy-sharqia-egypt
Business Analyst / (Assiut),Informatique Education -,"Assiut, Egypt",Full Time,On-site,Entry Level · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Analysis · Computer Science · Information Technology (IT) · Information Analysis · Microsoft Excel · Agile,https://wuzzuf.net/jobs/p/87gum36mxt9q-business-analyst-assiut-informatique-education-assiut-egypt
Senior Sales Engineer,Yama Engineering System -,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Business Development · Sales/Retail · Engineering - Mechanical/Electrical · Communication Skills · Engineering · Customer Relations · Mechanical Engineering · Fire Pumps · Technical Sales · Fire Protection Systems,https://wuzzuf.net/jobs/p/nciokgfwj9iz-senior-sales-engineer-yama-engineering-system-cairo-egypt
Quality System Engineer,Beyti - an Almarai Subsidiary  -,"Noubaria, Beheira, Egypt",Full Time,On-site,Entry Level · 0 - 3 Yrs of Exp · Quality · Quality Control · Quality Assurance · Quality Management · Analysis · Chemistry · Computer Science · Engineering · Information Technology (IT) · Manufacturing,https://wuzzuf.net/jobs/p/xpxfjsh6bnkz-quality-system-engineer-beyti-an-almarai-subsidiary-beheira-egypt
Senior internal auditor,Confidential -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Quality · Accounting · Auditing · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/qx669gsi6bcx-senior-internal-auditor-cairo-egypt
Sales Representative,inkstorm -,"Mahta Alraml, Alexandria, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · Sales/Retail · Business Administration · Sales · Sales Target Achievement · Customer Relationship Management (CRM) · Data Entry · Microsoft Office Suite · Communication Skills · Organizational Skills · Time Management,https://wuzzuf.net/jobs/p/yesnrhkoejxa-sales-representative-inkstorm-alexandria-egypt
Senior Import & Export Specialist,A-part Auto -,"Katameya, Cairo, Egypt",Full Time,On-site,Experienced · 3+ Yrs of Exp · Logistics/Supply Chain · Communication · Negotiation · Problem Solving · Business Analysis · Microsoft Office · SAP · Purchasing · Export · Logistics,https://wuzzuf.net/jobs/p/pdq0l5xk2n88-senior-import-export-specialist-a-part-auto-cairo-egypt
Senior Cost Accountant,Kandil Glass -,"Suez, Suez, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Financial Management · Finance · Accounting Software · Commerce · Cost Accounting · Microsoft Office,https://wuzzuf.net/jobs/p/mbmlpb5gycby-senior-cost-accountant-kandil-glass-suez-egypt
Accountant,Confidential -,"Abdeen, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · males_only · Accounting/Finance · Accounting · English · Finance · Financial Analysis · Financial Management · Microsoft Office · MS Excel · MS,https://wuzzuf.net/jobs/p/t8ifc0sfxdxb-accountant-cairo-egypt
Senior Treasury Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · Accounting/Finance · Analysis · Finance · Treasury,https://wuzzuf.net/jobs/p/kc0pb9zirkdm-senior-treasury-analyst-al-ahly-capital-holding-al-ahly-tamkeen-cairo-egypt
Local Procurement Specialist.,Confidential -,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · females_only · Logistics/Supply Chain · Purchasing/Procurement · local procurement · procurement · Supply Chain · Local procurement · Procurement · Supply chain management · Negotiation · Vendor management,https://wuzzuf.net/jobs/p/7jcuucij05fo-local-procurement-specialist-cairo-egypt
Planning Specialist,Elhelow Group -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 1 - 2 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production · Purchasing/Procurement · Planning · Supply Chain · Analysis · ERP,https://wuzzuf.net/jobs/p/qub7tfpexjrp-planning-specialist-elhelow-group-cairo-egypt
Chief Accountant,Confidential -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Manager · 10 - 12 Yrs of Exp · Accounting/Finance · Administration · Operations/Management · Accounting · Financial Management · Finance · analytical · Accounting Software · Financial Analysis,https://wuzzuf.net/jobs/p/ripzwdrk0xx2-chief-accountant-cairo-egypt
Senior Electrical Engineer,Afniah Consulting Engineering  -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 8+ Yrs of Exp · Engineering - Mechanical/Electrical · Electrical Engineering · Design · Revit · Power · Lighting · AutoCAD · Electrical Engineering Principles of KSA · Electrical Engineering Codes · KSA Electrical Engineering Standards,https://wuzzuf.net/jobs/p/skyqm4vhtpdh-senior-electrical-engineer-afniah-consulting-engineering-cairo-egypt
Importing Accountant,Agri venture -,"New Capital, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Accounting · Financial Management · Finance · ERP · Financial Analysis · Financial Accounting,https://wuzzuf.net/jobs/p/8ihkyg0b9bow-importing-accountant-agri-venture-cairo-egypt
Mechanical Maintenance Engineer,Olam SVI -,"6th of October, Giza, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering · Maintenance · Mechanical · Mechanical Maintenance · Mechanical Engineering · SAP ERP · Troubleshooting,https://wuzzuf.net/jobs/p/ztcmblff4ugh-mechanical-maintenance-engineer-olam-svi-giza-egypt
Design Engineer,MCV - Obour -,"Obour City, Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Other · CAD Design · Mechanical Engineering · Automotive Engineering · Product Development · Engineering Analysis · Problem Solving · Team Collaboration · Project Management,https://wuzzuf.net/jobs/p/rriizifruazd-design-engineer-mcv-obour-cairo-egypt
Tax Accountant,ECPA -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 4 - 7 Yrs of Exp · males_only · Accounting/Finance · Accounting · Tax Accounting · Bookkeeping · Accounting Software · Finance · Financial Analysis · CMA · Tax,https://wuzzuf.net/jobs/p/bbjqprivfqef-tax-accountant-ecpa-cairo-egypt
Store Accountant,XPRS -,"New Cairo, Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Accounting · Commerce · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/lg98fqaegldj-store-accountant-xprs-cairo-egypt
Senior Accountant,Innovera for Education Technology -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 7 - 10 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/tk0sanldmarx-senior-accountant-innovera-for-education-technology-cairo-egypt
Scheduling Coordinator,Zewail City -,"6th of October, Giza, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Administration · Administration · Scheduling · Coordination · Data Management,https://wuzzuf.net/jobs/p/jsnoijsluq3g-scheduling-coordinator-zewail-city-giza-egypt
AI Engineer,Confidential -,"Dokki, Giza, Egypt",Full Time,On-site,Entry Level · 1 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Computer Science · Information Technology (IT) · Machine Learning · Deep Learning · Python · TensorFlow · PyTorch,https://wuzzuf.net/jobs/p/ixh5hukifyyc-ai-engineer-giza-egypt
Senior Talent Acquisition Specialist,Ninos Kids Wear  -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · Human Resources · Human Resources (HR) · Interviewing · Recruitment · Talent acquisition · Organization Development · Organizational Development,https://wuzzuf.net/jobs/p/arotzzmdl3vz-senior-talent-acquisition-specialist-ninos-kids-wear-cairo-egypt
"Operational Excellence Engineer "" Internship""",ICON Holding -,"Helwan, Cairo, Egypt",Internship,On-site,Entry Level · Manufacturing/Production · Engineering · Mechanical Engineering,https://wuzzuf.net/internship/wkd7rmv1nrrt-operational-excellence-engineer-internship-icon-holding-cairo-egypt
Head of Operations - MENA,Casita -,"Dokki, Giza, Egypt",Full Time,On-site,Manager · 5 - 7 Yrs of Exp · Business Development · Customer Service/Support · Operations/Management · Management · Leadership · Marketing · Sales · Education Sales,https://wuzzuf.net/jobs/p/ojvtf0ioga03-head-of-operations-mena-casita-giza-egypt
Senior Admin Specialist,Dreem Mashreq Foods  -,"Smouha, Alexandria, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · males_only · Administration · Administration · Microsoft Office,https://wuzzuf.net/jobs/p/uvybnezhpqbl-senior-admin-specialist-dreem-mashreq-foods-alexandria-egypt
Call Center Supervisor,Al Mashreq Eye Center -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Call Center · Customer Care · Customer Service · Management · Customer Support,https://wuzzuf.net/jobs/p/5yr3vc7mrk1v-call-center-supervisor-al-mashreq-eye-center-cairo-egypt
GPS Officer,ECRAL -,"Nasr City, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Administration · Microsoft Office · Administration · Time Management,https://wuzzuf.net/jobs/p/bzzokrmiagq8-gps-officer-ecral-cairo-egypt
HSE Manager,Confidential -,"Alsadat City, Monufya, Egypt",Full Time,On-site,Manager · 15 - 20 Yrs of Exp · males_only · R&D/Science · Quality · Engineering - Other · HSE · Health And Safety · Engineering · Quality · Health & Safety · Safety · Management,https://wuzzuf.net/jobs/p/5nmrksva7mkd-hse-manager-monufya-egypt
Quality Control Senior Engineer,L'azurde for Jewelry -,"العبور, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 3 - 7 Yrs of Exp · الجودة · Quality Assurance · Engineering · Quality Control,https://wuzzuf.net/jobs/p/jhk9tvpmnx7o-quality-control-senior-engineer-lazurde-for-jewelry-cairo-egypt
Materials & Production Planning Specialist - Background Foods,Marbella For Food Industry  -,"السادس من أكتوبر, الجيزة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 3 - 5 Yrs of Exp · males_only · اللوجستيات/سلسلة التوريد · التصنيع/الإنتاج · Communication skills · Manufacturing · Supply Chain · Planning · business · Engineering · English · ERP,https://wuzzuf.net/jobs/p/goer7acsqtxu-materials-production-planning-specialist-background-foods-marbella-for-food-industry-giza-egypt
Digital Marketing,Cairo Transport & Touring  -,"القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 2 - 4 Yrs of Exp · الإبداع/التصميم/الفن · التسويق/العلاقات العامة/الإعلان · Communication skills · media · Social Media · Digital Marketing · E-Marketing · Content · Communication · Management,https://wuzzuf.net/jobs/p/w1ri8chsygjx-digital-marketing-cairo-transport-touring-cairo-egypt
Production Engineer,TechnoBit Group -,"بلبيس, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,مستوى مبتدئ · 2 - 4 Yrs of Exp · التصنيع/الإنتاج · الهندسة - الميكانيكية/الكهربائية · AutoCAD · Engineering · Industrial Engineering · Mechanical · Mechanical Engineering · Production · Planning · Manufacturing,https://wuzzuf.net/jobs/p/qgws94n9n85r-production-engineer-technobit-group-sharqia-egypt
Senior HR Operations Specialist,ACE Consulting Engineers  (Moharram - Bakhoum  -,"الجيزة, مصر",دوام كامل,عمل من مقر الشركة,مدير · 7 - 10 Yrs of Exp · الهندسة - البناء/المدنية/المعمارية · الموارد البشرية · Human Resources (HR) · Operations Management,https://wuzzuf.net/jobs/p/votkh7bhgovl-senior-hr-operations-specialist-ace-consulting-engineers-moharram-bakhoum-giza-egypt
Demand and Production Planning Sechion Head,Arab Otsuka Nutraceuticals -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,مدير · 5 - 8 Yrs of Exp · اللوجستيات/سلسلة التوريد · التصنيع/الإنتاج · Planning · Production · Production Planning · Supply Chain,https://wuzzuf.net/jobs/p/vqorwqvhfbdp-demand-and-production-planning-sechion-head-arab-otsuka-nutraceuticals-sharqia-egypt
HSE Assistant Manager,SAVOLA -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 6 - 8 Yrs of Exp · العمليات/الإدارة · HSE · health& Safety · Environment · Sustanability · Engineering,https://wuzzuf.net/jobs/p/eoet97t9se1b-hse-assistant-manager-savola-sharqia-egypt
Non-Food Purchasing Specialist,Tawfeer -,"المعادي, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,مستوى مبتدئ · 1 - 3 Yrs of Exp · اللوجستيات/سلسلة التوريد · الشراء/التوريد · E-Commerce · Purchasing · Procurement · Supply Chain · B2B · Business Administration · Commerce · Communication,https://wuzzuf.net/jobs/p/qll7apqitb9b-non-food-purchasing-specialist-tawfeer-cairo-egypt
HSE Officer,Hassan Allam Sports Club -,"القاهرة الجديدة, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 3 - 5 Yrs of Exp · الجودة · الرياضة والترفيه · HSE · Safety · Quality Auditing · Engineering · First Aid · Management · Microsoft Office · NEBOSH,https://wuzzuf.net/jobs/p/crzvwiepc6xq-hse-officer-hassan-allam-sports-club-cairo-egypt
أخصائي تسويق أداء وتقني,Smaw -,"مدينة نصر, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 2 - 4 Yrs of Exp · الإبداع/التصميم/الفن · الكتابة/التحرير · التسويق/العلاقات العامة/الإعلان · خبرة لا تقل عن سنتين في التسويق الرقمي / تسويق الأداء للتجارة الإلكترونية. · إتقان أدوات التتبّع: Meta Business Suite، TikTok Ads، Google Tag Manager، GA4. · خبرة عملية في Google Ads وGoogle Merchant Center. · فهم جيد لمبادئ SEO التقني والداخلي. · يُفضّل خبرة سابقة على منصة سلة أو منصات مشابهة (زد، Shopify). · دقة عالية في التعامل مع الأرقام والإعدادات التقنية. · إجادة العربية وإلمام جيد بالإنجليزية التقنية.,https://wuzzuf.net/jobs/p/h88dlb6e12nk-akhsayy-tsoyk-adaaa-otkny-smaw-cairo-egypt
Maintenance Manager,Dakahlia Group -,"التل الكبير, الإسماعيلية, مصر",دوام كامل,عمل من مقر الشركة,مدير · 7 - 10 Yrs of Exp · التركيب/الصيانة/الإصلاح · العمليات/الإدارة · الهندسة - الميكانيكية/الكهربائية · Engineering · Maintenance · Management · Mechanical Engineering · HVAC · Electrical Engineering · Maintenance Management,https://wuzzuf.net/jobs/p/9ugh5nezfelp-maintenance-manager-dakahlia-group-ismailia-egypt
Cost Controller,ElSaba Group Co. -,"القطامية, القاهرة, مصر",دوام جزئي,عمل من مقر الشركة,"ذو خبرة · 2 - 7 Yrs of Exp · المحاسبة/المالية · أخرى · Monitor and analyze food, material, and operational costs. · Prepare cost reports and compare actual costs with budgets. · Track inventory consumption and identify variances. · Review recipes, production costs, and product costing.",https://wuzzuf.net/jobs/p/fzvormtqu6l3-cost-controller-elsaba-group-co-cairo-egypt
QA Chemist,Orient -,"شبرا الخيمة, القليوبية, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 2 - 7 Yrs of Exp · البحث والتطوير/العلوم · التصنيع/الإنتاج · الجودة · QA · QC · Chemistry · ISO 9001 · Document Controlling · CAPA · Customer complaints,https://wuzzuf.net/jobs/p/ns6vl368joss-qa-chemist-orient-qalubia-egypt
Value Chain Reporting Internship - Graduates,Prometeon tyres group – Egypt -,"العامرية, الإسكندرية, مصر",تدريب عملي,عمل من مقر الشركة,مستوى مبتدئ · 0 - 1 Yrs of Exp · اللوجستيات/سلسلة التوريد · الشراء/التوريد · Export · Logistics · Supply Chain · Administration · Supply · Supply Management · Certified Supply Chain Professional · Biotechnology,https://wuzzuf.net/internship/tcdxweldwiwq-value-chain-reporting-internship-graduates-prometeon-tyres-group-egypt-alexandria-egypt
Payable & Receivable Accountant,Alsharq Kaan Textile -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,مستوى مبتدئ · 0 - 2 Yrs of Exp · males_only · المحاسبة/المالية · Accounting · Accounts Receivable · AP · AR · Odoo ERP · Finance · Microsoft Excel · Commerce · Accounts Payable,https://wuzzuf.net/jobs/p/sauranrryfum-payable-receivable-accountant-alsharq-kaan-textile-sharqia-egypt
Accountant,Advanced Business Systems -,"هليوبوليس, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 2 - 6 Yrs of Exp · المحاسبة/المالية · الإدارة · الخدمات المصرفية · Finance · Accounting · Financial Management,https://wuzzuf.net/jobs/p/sriqkbrnaneg-accountant-advanced-business-systems-cairo-egypt
Science HOD,The British International School  -,"الإسماعيلية, الإسماعيلية, مصر",دوام كامل,عمل من مقر الشركة,مدير · 3 - 8 Yrs of Exp · التعليم/التدريس · Teaching · Team Leadership · Leadership,https://wuzzuf.net/jobs/p/gjyy3ctxmvmc-science-hod-the-british-international-school-ismailia-egypt
Production Planning Engineer,National Glass -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,إدارة عليا · 8 - 20 Yrs of Exp · اللوجستيات/سلسلة التوريد · التصنيع/الإنتاج · الهندسة - الميكانيكية/الكهربائية · Engineering · Planning · Production Planning · Production · SAP,https://wuzzuf.net/jobs/p/dwh4tnibcub7-production-planning-engineer-national-glass-sharqia-egypt
Quality Control Engineer,Decotam  -,"السادس من أكتوبر, الجيزة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 3 - 7 Yrs of Exp · الجودة · Engineering · Quality Control · control · Quality Assurance,https://wuzzuf.net/jobs/p/7y7jsifguiwr-quality-control-engineer-decotam-giza-egypt
HSE Specialist,ECRAL -,"مدينة نصر, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 4 - 7 Yrs of Exp · males_only · الجودة · HSE · Quality Control · Safety Management Systems · Environmental Management · Occupational Health & Safety · Risk Assessment · Incident Investigation · Regulatory Compliance · HSE Auditing,https://wuzzuf.net/jobs/p/ql3yjjobowdj-hse-specialist-ecral-cairo-egypt
1.	Planning Manager,Confidential -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,مدير · 10 - 10 Yrs of Exp · التصنيع/الإنتاج · أخرى · Planning · Manufacturing,https://wuzzuf.net/jobs/p/y6mobvhnv3vt-1-planning-manager-sharqia-egypt
Sales Operations Supervisor.,The Address Investments for Real Estate Consultancy -,"القاهرة الجديدة, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,مدير · 3 - 5 Yrs of Exp · العمليات/الإدارة · المبيعات/التجزئة · Sales Operations · CRM · Finance · Management · Real Estate · Communication · Sales · Sales Target,https://wuzzuf.net/jobs/p/hu7pi2g9eujk-sales-operations-supervisor-the-address-investments-for-real-estate-consultancy-cairo-egypt
Senior Payroll Specialist,Professional Service - Proserv -,"المعادي, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 4 - 6 Yrs of Exp · الموارد البشرية · Human Resources (HR) · Payroll · Microsoft Office · Social Insurance · Marketing · Communication,https://wuzzuf.net/jobs/p/pfr5rrt2twmj-senior-payroll-specialist-professional-service-proserv-cairo-egypt
Technical Office Engineer,Moonland for Real Estate & Touristic Investments (Image) -,"شرم الشيخ, جنوب سيناء, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 3 - 5 Yrs of Exp · الهندسة - البناء/المدنية/المعمارية · AutoCAD Architecture · Microsoft Office · Construction Documentation · Quantity Surveying · Project Coordination · Technical Reporting · Site Supervision · Cost Estimation · Problem-solving,https://wuzzuf.net/jobs/p/9kkr8l7d1ycb-technical-office-engineer-moonland-for-real-estate-touristic-investments-image-south-sinai-egypt
Industrial Engineer,Confidential -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,مستوى مبتدئ · 0 - 2 Yrs of Exp · التصنيع/الإنتاج · أخرى · Engineering · Production,https://wuzzuf.net/jobs/p/kcv4ocz2605u-industrial-engineer-sharqia-egypt
Partnerships Management Team Lead,Khales -,"الجيزة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 5 - 10 Yrs of Exp · تطوير الأعمال · Partnerships · Management · Sales,https://wuzzuf.net/jobs/p/ygpghpzot3bu-partnerships-management-team-lead-khales-giza-egypt
Procurement Specialist,Nawah-Scientific -,"المقطم, القاهرة, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 3 - 7 Yrs of Exp · اللوجستيات/سلسلة التوريد · الأدوية · الشراء/التوريد · Logistics · Procurement · Purchasing · Supply Chain · Foreign Purchasing · Purchasing Management · International Purchasing,https://wuzzuf.net/jobs/p/vyue40c0jyjs-procurement-specialist-nawah-scientific-cairo-egypt
Financial Analyst - Evening Shift 3 -11 PM,Octa Food -,"القاهرة, مصر",دوام كامل,عمل عن بُعد,ذو خبرة · 4 - 10 Yrs of Exp · المحاسبة/المالية · Microsoft Excel · Microsoft Word,https://wuzzuf.net/jobs/p/4hqf2e98bx96-financial-analyst-evening-shift-3-11-pm-octa-food-alkahr-msr
EHS Specialist,Confidential -,"مدينة السادات, المنوفية, مصر",دوام كامل,عمل من مقر الشركة,"ذو خبرة · 3 - 6 Yrs of Exp · الجودة · HSE Management · Health, Safety and Environment · EHS Management · Power BI · ISO 45001 · ISO 14001 · OSHA · Manufacturing · Engineering",https://wuzzuf.net/jobs/p/ggigp4ps7vg4-ehs-specialist-monufya-egypt
R&D Chemist,Intertrade Co.  -,"العاشر من رمضان, الشرقية, مصر",دوام كامل,عمل من مقر الشركة,ذو خبرة · 2 - 4 Yrs of Exp · البحث والتطوير/العلوم · المحلل/البحث · الهندسة - الميكانيكية/الكهربائية · Chemistry · quality · Communication skills · Microsoft Excel · Science · Testing · Engineering,https://wuzzuf.net/jobs/p/a3qos1noctwu-rd-chemist-intertrade-co-sharqia-egypt
Event Experience and Standards Supervisor,British University of Egypt -,"Shorouk City, Cairo, Egypt",Full Time,On-site,Experienced · 6 - 7 Yrs of Exp · Marketing/PR/Advertising · Event Planning · Marketing · Events Coordination,https://wuzzuf.net/jobs/p/2ps5lpkfsn01-event-experience-and-standards-supervisor-british-university-of-egypt-cairo-egypt
Internal Auditor,MY WAY -,"Obour City, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · males_only · Accounting/Finance · Analytical and detail-oriented · • Strong communication skills · • High integrity and confidentiality · • Ability to work independently · Strong follow-up and problem-solving skills,https://wuzzuf.net/jobs/p/xiqrgniaobgv-internal-auditor-my-way-cairo-egypt
Senior Business Development Engineer,Valmore Holding -,"6th of October, Giza, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Business Development · Business Development · Information Technology (IT) · Software Engineering · Software Development · Business Administration · Computer Science · Engineering · Microsoft Office · Development,https://wuzzuf.net/jobs/p/dqzsluq0xr9d-senior-business-development-engineer-valmore-holding-giza-egypt
