Job titel,Company name,Address,Job type,Workplace,Job skills,Links
Project Control Team Leader,Core Construction and Finishing  Egypt -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 8 - 12 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project · CPM scheduling & planning · Cost control & financial analysis · Earned Value Management (EVM) · Risk & change management · * Data analysis and reporting · Construction · Engineering · Management,https://wuzzuf.net/jobs/p/blw05eff3bwj-project-control-team-leader-core-construction-and-finishing-egypt-cairo-egypt
Warehouse Operations and Logistics Manager,Confidential -,"Giza, Giza, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · males_only · Operations/Management · Logistics · Management · Supply Chain · Odoo ERP · Warehousing Management · Inventory Control · Team Leadership · Data Analysis & Reporting,https://wuzzuf.net/jobs/p/quii3wx3hhgp-warehouse-operations-and-logistics-manager-giza-egypt
Cost Accountant,Chema Foam -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · Accounting/Finance · Accounting · Cost Accounting · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/d0kfgd6vvcn7-cost-accountant-chema-foam-cairo-egypt
Graphic Designer - Remote,Zuccess -,"Cairo, Egypt",Part Time,Remote,Experienced · 2+ Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Microsoft Excel · Adobe illustrator · Adobe Photoshop · Analysis · Communication · Design · Graphic Design,https://wuzzuf.net/jobs/p/q3brhkbswtbf-graphic-designer-remote-zuccess-cairo-egypt
Sr. Accountant - Bookkeeping,Landmarks consulting solutions CO  -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Management · general accountant · Financial Analysis · accountant · Financial Accounting,https://wuzzuf.net/jobs/p/e6hfcvaglx1m-sr-accountant-bookkeeping-landmarks-consulting-solutions-co-cairo-egypt
Senior Accountant,Gahez Digital Marketing -,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Financial Management · GAAP · IFRS · Budgeting · Forecasting · Reconciliation · Microsoft Excel,https://wuzzuf.net/jobs/p/eqnlq4gd5olr-senior-accountant-gahez-digital-marketing-giza-egypt
Treasury Accountant- Travel agent,Cairo Transport & Touring  -,"Downtown, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · males_preferred · Accounting/Finance · Analyst/Research · Tourism/Travel · Accounting · Finance · Auditing · Computer Skills · excel · Financial Analysis · Accounting Software,https://wuzzuf.net/jobs/p/i6eokbuzvgcc-treasury-accountant-travel-agent-cairo-transport-touring-cairo-egypt
Product Owner,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",Full Time,Hybrid,Experienced · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Project/Program Management · Computer Science · Information Technology (IT) · Product · Software Development · Product Management · Agile Methodologies · Stakeholder Management,https://wuzzuf.net/jobs/p/opxhltiqft9b-product-owner-ibn-sina-pharma-cairo-egypt
Senior Cost Accountant,EGYTRAFO -,"Badr City, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Banking · Accounting · Cost Accountant · Cost · ERP System · Finance · Financial Analysis · Financial Management · ERP,https://wuzzuf.net/jobs/p/3qty27kt4xgb-senior-cost-accountant-egytrafo-cairo-egypt
Marketing Insights & Strategy Analyst,ICON Holding -,"Helwan, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 2 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Analysis · Market Research · Marketing · Strategy · Sales · SEO,https://wuzzuf.net/jobs/p/cc4j9yiylelf-marketing-insights-strategy-analyst-icon-holding-cairo-egypt
Supervisor Accountant,Aswaq -,"Shorouk City, Cairo, Egypt",Full Time,On-site,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Accounting · Finance · Business Administration · Financial Analysis,https://wuzzuf.net/jobs/p/xxhskmht1urk-supervisor-accountant-aswaq-cairo-egypt
Pest Control Quality & Safety Manager,Shoura Chemicals  -,"6th of October, Giza, Egypt",Full Time,On-site,Manager · 2 - 5 Yrs of Exp · Quality · Pest Control · Safety · Quality Assurance · Integrated Pest Management (IPM) · OHS Regulations · Risk Assessment · Quality Control · Auditing · SOP Development,https://wuzzuf.net/jobs/p/rthuozqji6qd-pest-control-quality-safety-manager-shoura-chemicals-giza-egypt
Financial Analyst/Intern,Intercap Capital  -,"Dokki, Giza, Egypt",Internship,On-site,Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Accounting · Research · Analysis · Financial Analysis · Financial Reports,https://wuzzuf.net/internship/fiaxlnw1t1qh-financial-analystintern-intercap-capital-giza-egypt
Sales Supervisor,Confidential -,"Maadi, Cairo, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · Accounting/Finance · Customer Service/Support · Sales · Customer Service · Sales Target Achievement · Leadership · Team Management · Performance Coaching · CRM Software · Data Analysis,https://wuzzuf.net/jobs/p/ksbnvh6wg3js-sales-supervisor-cairo-egypt
Accountant,Meam -,"Tripoli, Libya",Full Time,Remote,Entry Level · 2 - 4 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Management · Financial Analysis,https://wuzzuf.net/jobs/p/gaikcpvpinmw-accountant-meam-tripoli-libya
Accountant,EGYGAB Developments -,"Heliopolis, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · Banking · accountant · Accounting · Finance · Financial Analysis · Financial Management · Ledger · General Ledger · MS Excel,https://wuzzuf.net/jobs/p/aakpsc4pk1ri-accountant-egygab-developments-cairo-egypt
Customer Experience Supervisor,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt",Full Time,On-site,Manager · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Customer Care · Customer Experience · Customer Service · Customer Support · Sales · Team Leadership · Performance Management,https://wuzzuf.net/jobs/p/tzqghvkmikzi-customer-experience-supervisor-ibn-sina-pharma-cairo-egypt
Accounting & Auditing Consultant,Confidential -,"Abidjan, Ivory Coast",Full Time,On-site,Manager · 10+ Yrs of Exp · Accounting/Finance · Strategy/Consulting · Auditing · Accounting · Financial Analysis · internal audit · Accounting Software · Finance · Microsoft Excel · Travel,https://wuzzuf.net/jobs/p/jwx0z7cezjag-accounting-auditing-consultant-abidjan-ivory-coast
Costing Supervisor,Minlo -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Manager · 4 - 7 Yrs of Exp · Accounting/Finance · Cost Savings · Financial Analysis · Reporting · Management · Accounting · CMA · Commerce · Finance,https://wuzzuf.net/jobs/p/xlbirncslfl1-costing-supervisor-minlo-cairo-egypt
Gps Supervisor,Option Travel -,"Maadi, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Fleet Management · GPS Tracking Systems · Microsoft Office · Data Analysis,https://wuzzuf.net/jobs/p/3n5swyz6zkxz-gps-supervisor-option-travel-cairo-egypt
Senior Accountant,NTS Group -,"Downtown, Cairo, Egypt",Full Time,On-site,Experienced · 2+ Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Reporting · Auditing · Microsoft Excel · ERP Systems · Tax Preparation · Budgeting · Financial Analysis,https://wuzzuf.net/jobs/p/dued6u8qh0zb-senior-accountant-nts-group-cairo-egypt
Junior Accountant,Powergreen -,"6th of October, Giza, Egypt",Full Time,On-site,Entry Level · 1 - 4 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Microsoft Office,https://wuzzuf.net/jobs/p/qfexq6gops8k-junior-accountant-powergreen-giza-egypt
Junior Accountant,Statements Consulting -,"Cairo, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Microsoft Office,https://wuzzuf.net/jobs/p/vgfhq4lr0tmp-junior-accountant-statements-consulting-cairo-egypt
Internal Auditor,Chloride -,"Abu Rawash, Giza, Egypt",Full Time,On-site,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Financial Auditor · Certified Internal Auditor (CIA) · Accounting Software · Accounting · Cost Accounting · Financial · Financial Accounting · Auditing · Financial Analysis,https://wuzzuf.net/jobs/p/kjvcv57iwtso-internal-auditor-chloride-giza-egypt
FP&A Analyst,Guillam -,"San Stefano, Alexandria, Egypt",Full Time,On-site,Experienced · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Finance · excel · General Ledger · Financial Analysis · Financial Management · Accounting Software · Financial Planning · Budgeting,https://wuzzuf.net/jobs/p/xl1c2yrygosw-fpa-analyst-guillam-alexandria-egypt
Supply Chain Analyst,El Ola steel Group -,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · Procurement · Supply Chain · Analysis · Microsoft Excel,https://wuzzuf.net/jobs/p/avjswu4tvbvg-supply-chain-analyst-el-ola-steel-group-giza-egypt
General Accountant,rahala for import and export    -,"6th of October, Giza, Egypt",Full Time,On-site,Entry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Banking · Accounting · Accounting Software · Finance · Financial Analysis · ERP · Financial Management · General Accounting · Management,https://wuzzuf.net/jobs/p/uvfq73q1wyem-general-accountant-rahala-for-import-and-export-giza-egypt
Merchandising Manager,Raya Distribution -,"Maadi, Cairo, Egypt",Full Time,On-site,Manager · 7 - 10 Yrs of Exp · Operations/Management · Merchandising · Retail · Sales · Analysis · Visual Merchandising · Merchant acquiring · Management,https://wuzzuf.net/jobs/p/zol9ar1m6yfa-merchandising-manager-raya-distribution-cairo-egypt
Senior Cost Accountant,Jazeera Paints -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · Administration · Banking · Accounting · Finance · Financial Analysis · Financial Management · CMA · Cost Accounting · ERP,https://wuzzuf.net/jobs/p/l6khjpgzfz29-senior-cost-accountant-jazeera-paints-cairo-egypt
Accounting Officer,Confidential -,"6th of October, Giza, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Administration · Operations/Management · Accounting · Bookkeeping · Finance · Microsoft Office · Bank Reconciliation · Tax · Cost Accounting,https://wuzzuf.net/jobs/p/k2g4b58sjk7h-accounting-officer-giza-egypt
Accountant Intern.,Olam SVI -,"6th of October, Giza, Egypt",Internship,On-site,Entry Level · Accounting/Finance · Administration · Banking · Accounting · AP · Finance · Financial Analysis · Microsoft Office · SAP · ERP System,https://wuzzuf.net/internship/fitzdxwh8hzw-accountant-intern-olam-svi-giza-egypt
Procurement Manager,Sanad Farms    -,"New Damietta, Damietta, Egypt",Full Time,On-site,Manager · 5 - 10 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Procurement · Purchasing · Supply Chain Management · Strategic Sourcing · Vendor Management · Contract Management · Negotiation · Cost Optimization,https://wuzzuf.net/jobs/p/teefhvqcnaed-procurement-manager-sanad-farms-damietta-egypt
Financial Planning Analyst,Tamweely -,"Downtown, Cairo, Egypt",Full Time,On-site,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · CFA · Accounting · Financial Analysis · Finance · analytical skills · Financial · Financial Management,https://wuzzuf.net/jobs/p/t0bxjkaf9yse-financial-planning-analyst-tamweely-cairo-egypt
Treasury Analyst,Confidential -,"New Capital, Cairo, Egypt",Full Time,On-site,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Banking · Accounting · Finance · Financial Analysis · Treasury,https://wuzzuf.net/jobs/p/1pu0slqetezh-treasury-analyst-cairo-egypt
HSE Engineer,EUREKA Solar Energy -,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site,Experienced · 3 - 7 Yrs of Exp · males_preferred · Manufacturing/Production · Quality · Engineering - Other · Engineering · HSE Management Systems · Quality Control · Risk Assessment · Environmental Compliance · Safety Audits · Root Cause Analysis,https://wuzzuf.net/jobs/p/cooqiwi2yvex-hse-engineer-eureka-solar-energy-sharqia-egypt
Accounting Manager - Alexandria,MENA For Contracting & Trading -,"San Stefano, Alexandria, Egypt",Full Time,On-site,Manager · 15 - 20 Yrs of Exp · Accounting/Finance · Accounting · Finance · Construction · Microsoft Office · Real Estate · Construction Engineering · Financial Analysis · Financial Management · Management,https://wuzzuf.net/jobs/p/cpfgugw3ex6k-accounting-manager-alexandria-mena-for-contracting-trading-alexandria-egypt
Senior Business Development Executive,Elsewedy Electric -,"New Cairo, Cairo, Egypt",Full Time,On-site,Experienced · 4+ Yrs of Exp · Business Development · Marketing/PR/Advertising · Analyst/Research · Power BI · Commercial Sales · Business Development · Market Research · Commercial Analysis · Negotiation · Strategic Planning,https://wuzzuf.net/jobs/p/imspfrgy1rg0-senior-business-development-executive-elsewedy-electric-cairo-egypt
